                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    163,                0.62895,                0.32459,                0.93589,                0.97437,                0.95436,                0.97762,                0.78492,                0.89099,                0.39796,                 1.0564,              0.0084061,              0.0084061,              0.0084061
                    164,                0.62798,                0.32095,                0.93212,                0.98273,                0.97758,                0.98451,                0.79743,                0.86666,                0.34786,                 1.0297,              0.0083962,              0.0083962,              0.0083962
                    165,                0.62253,                0.32408,                0.92986,                0.98485,                0.97531,                0.98602,                0.79888,                0.86221,                0.34592,                 1.0286,              0.0083863,              0.0083863,              0.0083863
                    166,                0.62481,                0.32293,                 0.9291,                0.97368,                0.96906,                0.98414,                0.80065,                0.87598,                0.36372,                 1.0356,              0.0083764,              0.0083764,              0.0083764
                    167,                0.62245,                0.31997,                0.92566,                0.96941,                0.94677,                0.96723,                0.77057,                0.90558,                0.41369,                  1.053,              0.0083665,              0.0083665,              0.0083665
                    168,                 0.6152,                0.31615,                0.92818,                0.98235,                0.97113,                0.98459,                0.79397,                0.88527,                0.36597,                 1.0443,              0.0083566,              0.0083566,              0.0083566
                    169,                0.61221,                0.31643,                0.92637,                0.97866,                0.98152,                 0.9861,                0.80268,                0.87336,                0.34621,                 1.0309,              0.0083467,              0.0083467,              0.0083467
                    170,                0.61627,                0.31147,                0.92961,                0.97862,                0.96749,                 0.9849,                0.80005,                0.87378,                0.36861,                 1.0387,              0.0083368,              0.0083368,              0.0083368
                    171,                0.62188,                0.31751,                 0.9284,                0.98427,                0.97154,                0.98656,                0.80145,                0.87532,                0.35538,                  1.032,              0.0083269,              0.0083269,              0.0083269
                    172,                0.60308,                0.31366,                0.92387,                0.98028,                0.97818,                0.98527,                0.79456,                0.87967,                0.35425,                 1.0324,               0.008317,               0.008317,               0.008317
                    173,                0.60616,                0.31333,                0.92211,                   0.98,                0.95892,                0.98099,                0.79316,                0.88362,                0.37339,                 1.0328,              0.0083071,              0.0083071,              0.0083071
                    174,                0.60919,                0.31608,                0.91833,                0.98033,                0.96998,                 0.9862,                0.80155,                0.87955,                0.35119,                 1.0341,              0.0082972,              0.0082972,              0.0082972
                    175,                0.60945,                0.31716,                0.92609,                0.98864,                0.98354,                 0.9863,                0.80324,                0.86925,                0.34233,                 1.0306,              0.0082873,              0.0082873,              0.0082873
                    176,                0.61049,                0.31766,                0.92036,                0.98801,                 0.9838,                0.98694,                0.80202,                0.86972,                0.33374,                 1.0324,              0.0082774,              0.0082774,              0.0082774
                    177,                0.61281,                0.31589,                0.92625,                0.97771,                0.96607,                0.98453,                0.79919,                0.88328,                0.36942,                 1.0438,              0.0082675,              0.0082675,              0.0082675
